name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,code
jEdit,4.3,org.gjt.sp.jedit.bufferio.BufferAutosaveRequest,2,3,0,9,16,1,1,9,2,2.0,113,0.0,0,0.933333333,0.583333333,0,0,55.5,9,4.5,0,"

package org.gjt.sp.jedit.bufferio;


import java.io.*;
import org.gjt.sp.jedit.io.*;
import org.gjt.sp.jedit.*;
import org.gjt.sp.util.*;



public class BufferAutosaveRequest extends BufferIORequest
{
	
	
	public BufferAutosaveRequest(View view, Buffer buffer,
		Object session, VFS vfs, String path)
	{
		super(view,buffer,session,vfs,path);
	} 

	
	public void run()
	{
		OutputStream out = null;

		try
		{
			String[] args = { vfs.getFileName(path) };
			setStatus(jEdit.getProperty(""vfs.status.autosave"",args));

			
			setAbortable(true);

			try
			{
				

				if(!buffer.isDirty())
				{
					
					
					return;
				}

				out = vfs._createOutputStream(session,path,view);
				if(out == null)
					return;

				write(buffer,out);
			}
			catch(Exception e)
			{
				Log.log(Log.ERROR,this,e);
				String[] pp = { e.toString() };
				VFSManager.error(view,path,""ioerror.write-error"",pp);

				
				if(out != null)
				{
					try
					{
						out.close();
						out = null;
						vfs._delete(session,path,view);
					}
					catch(IOException ioe)
					{
						Log.log(Log.ERROR,this,ioe);
					}
				}
			}
			
			
				
			
		}
		catch(WorkThread.Abort a)
		{
		}
		finally
		{
			IOUtilities.closeQuietly(out);
		}
	} 
}
"
jEdit,4.3,org.gjt.sp.jedit.bsh.CommandLineReader,4,3,0,1,8,4,1,0,4,1.0,82,0.0,0,0.857142857,0.35,2,2,18.5,1,0.75,0,"


package org.gjt.sp.jedit.bsh;

import java.io.*;


class CommandLineReader extends FilterReader {

    public CommandLineReader( Reader in ) {
		super(in);
    }

	static final int 
		normal = 0,
		lastCharNL = 1,
		sentSemi = 2;

	int state = lastCharNL;

    public int read() throws IOException {
		int b;

		if ( state == sentSemi ) {
			state = lastCharNL;
			return '\n';
		}

		
        while ( (b = in.read()) == '\r' );

		if ( b == '\n' )
			if ( state == lastCharNL ) {
				b = ';';
				state = sentSemi;
			} else
				state = lastCharNL;
		else
			state = normal;

		return b;
    }

	
    public int read(char buff[], int off, int len) throws IOException 
	{
		int b = read();
		if ( b == -1 )
			return -1;  
		else {
			buff[off]=(char)b;
			return 1;
		}
    }

	
	public static void main( String [] args ) throws Exception {
		Reader in = new CommandLineReader( new InputStreamReader(System.in) );
		while ( true )
			System.out.println( in.read() );
		
	}
}

"
jEdit,4.3,org.gjt.sp.jedit.bufferset.BufferSet,18,1,0,16,55,0,11,8,13,0.647058824,687,1.0,0,0.0,0.426470588,0,0,36.88888889,12,2.5,1,"
package org.gjt.sp.jedit.bufferset;


import org.gjt.sp.jedit.Buffer;
import org.gjt.sp.jedit.jEdit;
