ID,Type,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,code
L384,Class,A,A,L216,L103,src/etc/testcases/taskdefs/optional/depend/src1/A.java,1,1,3,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A extends B {
    private D d = new D();
}

"
L405,Class,A,A,L216,L103,src/etc/testcases/taskdefs/optional/depend/src2/A.java,1,1,4,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    static private class Inner extends B {
    }
}

"
L411,Class,A,A,L216,L103,src/etc/testcases/taskdefs/optional/depend/src3/A.java,1,1,6,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    static private class Inner {
        static private class Inner2 extends B {
        }
    }
}

"
L419,Class,A,A,L216,L103,src/etc/testcases/taskdefs/optional/depend/src5/A.java,1,1,3,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    APrivate dependency = new APrivate();
}

class APrivate extends B {
}
"
L407,Class,A$Inner,A$Inner,L405,L103,src/etc/testcases/taskdefs/optional/depend/src2/A.java,2,5,3,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    static private class Inner extends B {
    }
}

"
L413,Class,A$Inner,A$Inner,L411,L103,src/etc/testcases/taskdefs/optional/depend/src3/A.java,2,5,5,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    static private class Inner {
        static private class Inner2 extends B {
        }
    }
}

"
L415,Class,A$Inner$Inner2,A$Inner$Inner2,L413,L103,src/etc/testcases/taskdefs/optional/depend/src3/A.java,3,9,4,10,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    static private class Inner {
        static private class Inner2 extends B {
        }
    }
}

"
L422,Class,APrivate,APrivate,L216,L103,src/etc/testcases/taskdefs/optional/depend/src5/A.java,5,1,6,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class A {
    APrivate dependency = new APrivate();
}

class APrivate extends B {
}
"
L434,Class,AssertionTest,AssertionTest,L216,L103,src/etc/testcases/types/assertions/AssertionTest.java,59,1,66,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.5,0.903226,56,56,1,1,0.903226,56,0,0,0,0,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,6,8,0,0,0,0,1,0,1,0,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"
 


public class AssertionTest {
    
    public static void main(String args[]) {
		assert true == false : ""there exist no facts that are both true and false"";
		System.out.println(""Assertions are disabled"");
    }
    
}
"
L385,Class,B,B,L216,L103,src/etc/testcases/taskdefs/optional/depend/src1/B.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.0,0,0,0,1,0.0,0,1,1,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class B extends C {
}

"
L409,Class,B,B,L216,L103,src/etc/testcases/taskdefs/optional/depend/src2/B.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class B {
}

"
L417,Class,B,B,L216,L103,src/etc/testcases/taskdefs/optional/depend/src3/B.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class B {
}

"
L426,Class,B,B,L216,L103,src/etc/testcases/taskdefs/optional/depend/src5/B.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class B {
}

"
L395,Class,C,C,L216,L103,src/etc/testcases/taskdefs/optional/depend/src1/C.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class C {
}

"
L392,Class,D,D,L216,L103,src/etc/testcases/taskdefs/optional/depend/src1/D.java,1,1,2,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class D {
}

"
L401,Class,E,E,L216,L103,src/etc/testcases/taskdefs/optional/depend/src1/E.java,1,1,5,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,5,5,0,0,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class E {
    E() {
        System.out.println(A.class);
    }
}

"
L263,Class,Junk1,Junk1,L216,L103,src/etc/testcases/taskdefs/fixcrlf/expected/Junk1.java,1,1,12,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,0,0,0,0,1,0.0,0.4375,7,0,0,2,0.4375,7,0,0,0,0,0,9,12,1,0,1,0,1,1,1,0,1,3,1,1,0,9,12,1,0,1,0,1,1,1,0,1,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,"public class Junk1 {
    public boolean mybool;
    public static void main (String[] args) {
	System.out.println(""I have	a tab"");
	
	if (mybool) {	char mychar = '	';	
	} 
	
    } 
}
"
