name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,code
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,3,1,0,10,18,3,1,9,1,1.1,106,0.0,0,0.0,0.444444444,0,0,32.66666667,1,0.6667,0,"

package org.apache.tools.ant.taskdefs.rmic;

import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.Task;
import org.apache.tools.ant.util.ClasspathUtils;

import java.util.Locale;



public final class RmicAdapterFactory {
    
    public static final String ERROR_UNKNOWN_COMPILER = ""Class not found: "";

    
    public static final String ERROR_NOT_RMIC_ADAPTER = ""Class of unexpected Type: "";

    
    public static final String DEFAULT_COMPILER = ""default"";

    
    private RmicAdapterFactory() {
    }

    
    public static RmicAdapter getRmic(String rmicType, Task task)
        throws BuildException {
        
        String compiler = rmicType.toLowerCase(Locale.ENGLISH);

        
        if (DEFAULT_COMPILER.equals(compiler) || compiler.length() == 0) {
            compiler = KaffeRmic.isAvailable()
                ? KaffeRmic.COMPILER_NAME
                : SunRmic.COMPILER_NAME;
        }
        if (SunRmic.COMPILER_NAME.equals(compiler)) {
            return new SunRmic();
        } else if (KaffeRmic.COMPILER_NAME.equals(compiler)) {
            return new KaffeRmic();
        } else if (WLRmic.COMPILER_NAME.equals(compiler)) {
            return new WLRmic();
        } else if (ForkingSunRmic.COMPILER_NAME.equals(compiler)) {
            return new ForkingSunRmic();
        } else if (XNewRmic.COMPILER_NAME.equals(compiler)) {
            return new XNewRmic();
        }
        
        return resolveClassName(rmicType);
    }

    
    private static RmicAdapter resolveClassName(String className)
            throws BuildException {
        return (RmicAdapter) ClasspathUtils.newInstance(className,
                RmicAdapterFactory.class.getClassLoader(), RmicAdapter.class);
    }
}
"
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler,5,2,0,4,13,0,1,4,4,0.625,76,1.0,1,0.7,0.5,0,0,13.4,1,0.6,0,"
package org.apache.tools.ant.taskdefs.optional.perforce;
import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.Project;
import org.apache.oro.text.perl.Perl5Util;

import java.util.ArrayList;


class FStatP4OutputHandler extends P4HandlerAdapter {
    private P4Fstat parent;
    private ArrayList existing = new ArrayList();
    private ArrayList nonExisting = new ArrayList();
    private static Perl5Util util = new Perl5Util();

    public FStatP4OutputHandler(P4Fstat parent) {
        this.parent = parent;
    }

    public void process(String line) throws BuildException {
        if (util.match(""/^... clientFile (.+)$/"", line)) {
            String f = util.group(1);
            existing.add(f);
        } else if (util.match(""/^(.+) - no such file/"", line)) {
            String f = util.group(1);
            nonExisting.add(f);
        }
        parent.log(parent.util.substitute(""s/^.*: 
                   Project.MSG_VERBOSE);
    }

    public ArrayList getExisting() {
        return existing;
    }

    public ArrayList getNonExisting() {
        return nonExisting;
    }
}
"
org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,1,2,0,1,3,0,0,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0,"

package org.apache.tools.ant.taskdefs.optional.junit;



public class OutErrSummaryJUnitResultFormatter
    extends SummaryJUnitResultFormatter {

    
    public OutErrSummaryJUnitResultFormatter() {
        super();
        setWithOutAndErr(true);
    }
}
"
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter,8,1,9,13,20,12,9,4,8,0.8,101,0.2,1,0.0,0.40625,0,0,11.0,1,0.875,0,"

package org.apache.tools.ant.taskdefs.optional.perforce;

import java.io.ByteArrayInputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.OutputStream;

import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.taskdefs.PumpStreamHandler;

public abstract class P4HandlerAdapter  implements P4Handler {
    
    String p4input = """";
    private PumpStreamHandler myHandler = null;
    
    
    public void setOutput(String p4Input) {
        this.p4input = p4Input;
    }
    
    public abstract void process(String line);

    
    public void start() throws BuildException {
        if (p4input != null && p4input.length() > 0) {
            myHandler = new PumpStreamHandler(new P4OutputStream(this), new P4OutputStream(this),
                new ByteArrayInputStream(p4input.getBytes()));
        } else {
            myHandler = new PumpStreamHandler(new P4OutputStream(this), new P4OutputStream(this));
        }
        myHandler.setProcessInputStream(os);
        myHandler.setProcessErrorStream(es);
        myHandler.setProcessOutputStream(is);
        myHandler.start();
    }

    
    public void stop() {
        myHandler.stop();
    }

    
    OutputStream os;    
    InputStream is;     
    InputStream es;     
    

    
    public void setProcessInputStream(OutputStream os) throws IOException {
        this.os = os;
    }

    
    public void setProcessErrorStream(InputStream is) throws IOException {
        this.es = is;
    }

    
    public void setProcessOutputStream(InputStream is) throws IOException {
        this.is = is;
    }
}
"
org.apache.tools.ant.taskdefs.WaitFor,9,3,0,5,26,16,0,5,7,0.75,185,1.0,0,0.8,0.388888889,0,0,19.0,2,1.0,1,"

package org.apache.tools.ant.taskdefs;

import java.util.HashMap;
import java.util.Map;
import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.Project;
import org.apache.tools.ant.taskdefs.condition.Condition;
import org.apache.tools.ant.taskdefs.condition.ConditionBase;
import org.apache.tools.ant.types.EnumeratedAttribute;


public class WaitFor extends ConditionBase {
    
    private long maxWaitMillis = 1000L * 60L * 3L;
    private long maxWaitMultiplier = 1L;
    private long checkEveryMillis = 500L;
    private long checkEveryMultiplier = 1L;
    private String timeoutProperty;

    
    public WaitFor() {
        super(""waitfor"");
    }

    
    public void setMaxWait(long time) {
        maxWaitMillis = time;
    }

    
    public void setMaxWaitUnit(Unit unit) {
        maxWaitMultiplier = unit.getMultiplier();
    }

    
    public void setCheckEvery(long time) {
        checkEveryMillis = time;
    }

    
    public void setCheckEveryUnit(Unit unit) {
        checkEveryMultiplier = unit.getMultiplier();
    }

    
    public void setTimeoutProperty(String p) {
        timeoutProperty = p;
    }

    
    public void execute() throws BuildException {
        if (countConditions() > 1) {
            throw new BuildException(""You must not nest more than one ""
                                     + ""condition into ""
                                     + getTaskName());
        }
        if (countConditions() < 1) {
            throw new BuildException(""You must nest a condition into ""
                                     + getTaskName());
        }
        Condition c = (Condition) getConditions().nextElement();

        long savedMaxWaitMillis = maxWaitMillis;
        long savedCheckEveryMillis = checkEveryMillis;
        try {
            maxWaitMillis *= maxWaitMultiplier;
            checkEveryMillis *= checkEveryMultiplier;
            long start = System.currentTimeMillis();
            long end = start + maxWaitMillis;

            while (System.currentTimeMillis() < end) {
                if (c.eval()) {
                    processSuccess();
                    return;
                }
                try {
                    Thread.sleep(checkEveryMillis);
                } catch (InterruptedException e) {
                    
                }
            }
            processTimeout();
        } finally {
            maxWaitMillis = savedMaxWaitMillis;
            checkEveryMillis = savedCheckEveryMillis;
        }
    }

    
    protected void processSuccess() {
        log(getTaskName() + "": condition was met"", Project.MSG_VERBOSE);
    }

    
    protected void processTimeout() {
        log(getTaskName() + "": timeout"", Project.MSG_VERBOSE);
        if (timeoutProperty != null) {
            getProject().setNewProperty(timeoutProperty, ""true"");
        }
    }

    
    public static class Unit extends EnumeratedAttribute {

        
        public static final String MILLISECOND = ""millisecond"";
        
        public static final String SECOND = ""second"";
        
        public static final String MINUTE = ""minute"";
        
        public static final String HOUR = ""hour"";
        
        public static final String DAY = ""day"";
        
        public static final String WEEK = ""week"";

        private static final String[] UNITS = {
            MILLISECOND, SECOND, MINUTE, HOUR, DAY, WEEK
        };

        private Map timeTable = new HashMap();

        
        public Unit() {
            timeTable.put(MILLISECOND, new Long(1L));
            timeTable.put(SECOND,      new Long(1000L));
            timeTable.put(MINUTE,      new Long(1000L * 60L));
            timeTable.put(HOUR,        new Long(1000L * 60L * 60L));
            timeTable.put(DAY,         new Long(1000L * 60L * 60L * 24L));
            timeTable.put(WEEK,        new Long(1000L * 60L * 60L * 24L * 7L));
        }

        
        public long getMultiplier() {
            String key = getValue().toLowerCase();
            Long l = (Long) timeTable.get(key);
            return l.longValue();
        }

        
        
        public String[] getValues() {
            return UNITS;
        }
    }
}
"
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,3,2,5,7,4,1,6,1,2,0.5,16,1.0,0,0.75,0.555555556,0,0,4.0,1,0.6667,0,"
package org.apache.tools.ant.taskdefs.optional.depend.constantpool;


public abstract class ConstantCPInfo extends ConstantPoolEntry {

    
    private Object value;

    
    protected ConstantCPInfo(int tagValue, int entries) {
        super(tagValue, entries);
    }

    
    public Object getValue() {
        return value;
    }

    
    public void setValue(Object newValue) {
        value = newValue;
    }

}

"
org.apache.tools.zip.AsiExtraField,20,1,0,4,40,130,0,4,18,0.736842105,345,1.0,1,0.0,0.284210526,0,0,15.9,3,1.15,1,"

package org.apache.tools.zip;

import java.util.zip.CRC32;
import java.util.zip.ZipException;


public class AsiExtraField implements ZipExtraField, UnixStat, Cloneable {

    private static final ZipShort HEADER_ID = new ZipShort(0x756E);

    
    private int mode = 0;
    
    private int uid = 0;
    
    private int gid = 0;
    
    private String link = """";
    
    private boolean dirFlag = false;

    
    private CRC32 crc = new CRC32();

    
    public AsiExtraField() {
    }

    
    public ZipShort getHeaderId() {
        return HEADER_ID;
    }

    
    public ZipShort getLocalFileDataLength() {
        return new ZipShort(4         
                          + 2         
                          + 4         
                          + 2         
                          + 2         
                          + getLinkedFile().getBytes().length);
    }

    
    public ZipShort getCentralDirectoryLength() {
        return getLocalFileDataLength();
    }

    
    public byte[] getLocalFileDataData() {
        
        byte[] data = new byte[getLocalFileDataLength().getValue() - 4];
        System.arraycopy(ZipShort.getBytes(getMode()), 0, data, 0, 2);

        byte[] linkArray = getLinkedFile().getBytes();
        System.arraycopy(ZipLong.getBytes(linkArray.length),
                         0, data, 2, 4);

        System.arraycopy(ZipShort.getBytes(getUserId()),
                         0, data, 6, 2);
        System.arraycopy(ZipShort.getBytes(getGroupId()),
                         0, data, 8, 2);

        System.arraycopy(linkArray, 0, data, 10, linkArray.length);

        crc.reset();
        crc.update(data);
        long checksum = crc.getValue();

        byte[] result = new byte[data.length + 4];
        System.arraycopy(ZipLong.getBytes(checksum), 0, result, 0, 4);
        System.arraycopy(data, 0, result, 4, data.length);
        return result;
    }

    
    public byte[] getCentralDirectoryData() {
        return getLocalFileDataData();
    }

    
    public void setUserId(int uid) {
        this.uid = uid;
    }

    
    public int getUserId() {
        return uid;
    }

    
    public void setGroupId(int gid) {
        this.gid = gid;
    }

    
    public int getGroupId() {
        return gid;
    }

    
    public void setLinkedFile(String name) {
        link = name;
        mode = getMode(mode);
    }

    
    public String getLinkedFile() {
        return link;
    }

    
    public boolean isLink() {
        return getLinkedFile().length() != 0;
    }

    
    public void setMode(int mode) {
        this.mode = getMode(mode);
    }

    
    public int getMode() {
        return mode;
    }

    
    public void setDirectory(boolean dirFlag) {
        this.dirFlag = dirFlag;
        mode = getMode(mode);
    }

    
    public boolean isDirectory() {
        return dirFlag && !isLink();
    }

    
    public void parseFromLocalFileData(byte[] data, int offset, int length)
        throws ZipException {

        long givenChecksum = ZipLong.getValue(data, offset);
        byte[] tmp = new byte[length - 4];
        System.arraycopy(data, offset + 4, tmp, 0, length - 4);
        crc.reset();
        crc.update(tmp);
        long realChecksum = crc.getValue();
        if (givenChecksum != realChecksum) {
            throw new ZipException(""bad CRC checksum ""
                                   + Long.toHexString(givenChecksum)
                                   + "" instead of ""
                                   + Long.toHexString(realChecksum));
        }

        int newMode = ZipShort.getValue(tmp, 0);
        byte[] linkArray = new byte[(int) ZipLong.getValue(tmp, 2)];
        uid = ZipShort.getValue(tmp, 6);
        gid = ZipShort.getValue(tmp, 8);

        if (linkArray.length == 0) {
            link = """";
        } else {
            System.arraycopy(tmp, 10, linkArray, 0, linkArray.length);
            link = new String(linkArray);
        }
        setDirectory((newMode & DIR_FLAG) != 0);
        setMode(newMode);
    }

    
    protected int getMode(int mode) {
        int type = FILE_FLAG;
        if (isLink()) {
            type = LINK_FLAG;
        } else if (isDirectory()) {
            type = DIR_FLAG;
        }
        return type | (mode & PERM_MASK);
    }

}
"
org.apache.tools.ant.types.resources.selectors.Date,13,1,0,7,28,20,2,5,12,0.80952381,183,1.0,2,0.0,0.3,0,0,12.53846154,7,1.3846,0,"
package org.apache.tools.ant.types.resources.selectors;

import java.text.DateFormat;
import java.text.SimpleDateFormat;
import java.text.ParseException;
import java.util.Locale;

import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.types.Resource;
import org.apache.tools.ant.types.TimeComparison;
import org.apache.tools.ant.util.FileUtils;


public class Date implements ResourceSelector {
    private static final String MILLIS_OR_DATETIME
        = ""Either the millis or the datetime attribute must be set."";
    private static final FileUtils FILE_UTILS = FileUtils.getFileUtils();

    private Long millis = null;
    private String dateTime = null;
    private String pattern = null;
    private TimeComparison when = TimeComparison.EQUAL;
    private long granularity = FILE_UTILS.getFileTimestampGranularity();

    
    public synchronized void setMillis(long m) {
        millis = new Long(m);
    }

    
    public synchronized long getMillis() {
        return millis == null ? -1L : millis.longValue();
    }

    
    public synchronized void setDateTime(String s) {
        dateTime = s;
        millis = null;
    }

    
    public synchronized String getDatetime() {
        return dateTime;
    }

    
    public synchronized void setGranularity(long g) {
        granularity = g;
    }

    
    public synchronized long getGranularity() {
        return granularity;
    }

    
    public synchronized void setPattern(String p) {
        pattern = p;
    }

    
    public synchronized String getPattern() {
        return pattern;
    }

    
    public synchronized void setWhen(TimeComparison c) {
        when = c;
    }

    
    public synchronized TimeComparison getWhen() {
        return when;
    }

    
    public synchronized boolean isSelected(Resource r) {
        if (dateTime == null && millis == null) {
            throw new BuildException(MILLIS_OR_DATETIME);
        }
        if (millis == null) {
            DateFormat df = ((pattern == null)
                ? DateFormat.getDateTimeInstance(
                    DateFormat.SHORT, DateFormat.SHORT, Locale.US)
                : new SimpleDateFormat(pattern));
            try {
                long m = df.parse(dateTime).getTime();
                if (m < 0) {
                    throw new BuildException(""Date of "" + dateTime
                        + "" results in negative milliseconds value""
                        + "" relative to epoch (January 1, 1970, 00:00:00 GMT)."");
                }
                setMillis(m);
            } catch (ParseException pe) {
                throw new BuildException(""Date of "" + dateTime
                        + "" Cannot be parsed correctly. It should be in""
                        + (pattern == null
                        ? "" MM/DD/YYYY HH:MM AM_PM"" : pattern) + "" format."");
            }
        }
        return when.evaluate(r.getLastModified(), millis.longValue(), granularity);
    }

}
"
org.apache.tools.ant.util.facade.FacadeTaskHelper,9,1,0,5,19,8,4,1,9,0.53125,119,1.0,0,0.0,0.518518519,0,0,11.77777778,3,1.4444,0,"

package org.apache.tools.ant.util.facade;

import java.util.Enumeration;
import java.util.Vector;


public class FacadeTaskHelper {

    
    private Vector args = new Vector();

    
    private String userChoice;

    
    private String magicValue;

    
    private String defaultValue;

    
    public FacadeTaskHelper(String defaultValue) {
        this(defaultValue, null);
    }

    
    public FacadeTaskHelper(String defaultValue, String magicValue) {
        this.defaultValue = defaultValue;
        this.magicValue = magicValue;
    }

    
    public void setMagicValue(String magicValue) {
        this.magicValue = magicValue;
    }

    
    public void setImplementation(String userChoice) {
        this.userChoice = userChoice;
    }

    
    public String getImplementation() {
        return userChoice != null ? userChoice
                                  : (magicValue != null ? magicValue
                                                        : defaultValue);
    }

    
    public String getExplicitChoice() {
        return userChoice;
    }

    
    public void addImplementationArgument(ImplementationSpecificArgument arg) {
        args.addElement(arg);
    }

    
    public String[] getArgs() {
        Vector tmp = new Vector(args.size());
        for (Enumeration e = args.elements(); e.hasMoreElements();) {
            ImplementationSpecificArgument arg =
                ((ImplementationSpecificArgument) e.nextElement());
            String[] curr = arg.getParts(getImplementation());
            for (int i = 0; i < curr.length; i++) {
                tmp.addElement(curr[i]);
            }
        }
        String[] res = new String[tmp.size()];
        tmp.copyInto(res);
        return res;
    }

    
    public boolean hasBeenSet() {
        return userChoice != null || magicValue != null;
    }
}
"
org.apache.tools.ant.types.selectors.DepthSelector,7,5,0,9,25,0,6,3,7,0.666666667,255,0.0,0,0.863636364,0.342857143,2,5,34.85714286,9,3.1429,0,"

package org.apache.tools.ant.types.selectors;

import java.io.File;
import java.util.StringTokenizer;

import org.apache.tools.ant.BuildException;
import org.apache.tools.ant.types.Parameter;


public class DepthSelector extends BaseExtendSelector {

    

    
    public int min = -1;
    
    public int max = -1;

    

    
    public static final String MIN_KEY = ""min"";
    
    public static final String MAX_KEY = ""max"";

    
    public DepthSelector() {
    }

    
    public String toString() {
        StringBuffer buf = new StringBuffer(""{depthselector min: "");
        buf.append(min);
        buf.append("" max: "");
        buf.append(max);
        buf.append(""}"");
        return buf.toString();
    }

    
    public void setMin(int min) {
        this.min = min;
    }

    
    public void setMax(int max) {
        this.max = max;
    }

    
    public void setParameters(Parameter[] parameters) {
        super.setParameters(parameters);
        if (parameters != null) {
            for (int i = 0; i < parameters.length; i++) {
                String paramname = parameters[i].getName();
                if (MIN_KEY.equalsIgnoreCase(paramname)) {
                    try {
                        setMin(Integer.parseInt(parameters[i].getValue()));
                    } catch (NumberFormatException nfe1) {
                        setError(""Invalid minimum value ""
                                + parameters[i].getValue());
                    }
                } else if (MAX_KEY.equalsIgnoreCase(paramname)) {
                    try {
                        setMax(Integer.parseInt(parameters[i].getValue()));
                    } catch (NumberFormatException nfe1) {
                        setError(""Invalid maximum value ""
                                + parameters[i].getValue());
                    }
                } else {
                    setError(""Invalid parameter "" + paramname);
                }
            }
        }
    }

    
    public void verifySettings() {
        if (min < 0 && max < 0) {
            setError(""You must set at least one of the min or the ""
                    + ""max levels."");
        }
        if (max < min && max > -1) {
            setError(""The maximum depth is lower than the minimum."");
        }
    }

    
    public boolean isSelected(File basedir, String filename, File file) {

        
        validate();

        int depth = -1;
        
        String absBase = basedir.getAbsolutePath();
        String absFile = file.getAbsolutePath();
        StringTokenizer tokBase = new StringTokenizer(absBase,
                File.separator);
        StringTokenizer tokFile = new StringTokenizer(absFile,
                File.separator);
        while (tokFile.hasMoreTokens()) {
            String filetoken = tokFile.nextToken();
            if (tokBase.hasMoreTokens()) {
                String basetoken = tokBase.nextToken();
                
                if (!basetoken.equals(filetoken)) {
                    throw new BuildException(""File "" + filename
                            + "" does not appear within "" + absBase
                            + ""directory"");
                }
            } else {
                depth += 1;
                if (max > -1 && depth > max) {
                    return false;
                }
            }
        }
        if (tokBase.hasMoreTokens()) {
            throw new BuildException(""File "" + filename
                + "" is outside of "" + absBase + ""directory tree"");
        }
        if (min > -1 && depth < min) {
            return false;
        }
        return true;
    }

}

"
