name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,code
log4j,1.2,org.apache.log4j.chainsaw.XMLFileHandler,8,2,0,4,22,4,1,3,4,0.767857143,273,1.0,2,0.708333333,0.291666667,1,2,31.125,6,2.375,3,"
package org.apache.log4j.chainsaw;

import java.util.StringTokenizer;
import org.apache.log4j.Level;
import org.xml.sax.Attributes;
import org.xml.sax.SAXException;
import org.xml.sax.helpers.DefaultHandler;


class XMLFileHandler
    extends DefaultHandler
{
    
    private static final String TAG_EVENT = ""log4j:event"";
    
    private static final String TAG_MESSAGE = ""log4j:message"";
    
    private static final String TAG_NDC = ""log4j:NDC"";
    
    private static final String TAG_THROWABLE = ""log4j:throwable"";
    
    private static final String TAG_LOCATION_INFO = ""log4j:locationInfo"";

    
    private final MyTableModel mModel;
    
    private int mNumEvents;

    
    private long mTimeStamp;
    
    private Level mLevel;
    
    private String mCategoryName;
    
    private String mNDC;
    
    private String mThreadName;
    
    private String mMessage;
    
    private String[] mThrowableStrRep;
    
    private String mLocationDetails;
    
    private final StringBuffer mBuf = new StringBuffer();

    
    XMLFileHandler(MyTableModel aModel) {
        mModel = aModel;
    }

    
    public void startDocument()
        throws SAXException
    {
        mNumEvents = 0;
    }

    
    public void characters(char[] aChars, int aStart, int aLength) {
        mBuf.append(String.valueOf(aChars, aStart, aLength));
    }

    
    public void endElement(String aNamespaceURI,
                           String aLocalName,
                           String aQName)
    {
        if (TAG_EVENT.equals(aQName)) {
            addEvent();
            resetData();
        } else if (TAG_NDC.equals(aQName)) {
            mNDC = mBuf.toString();
        } else if (TAG_MESSAGE.equals(aQName)) {
            mMessage = mBuf.toString();
        } else if (TAG_THROWABLE.equals(aQName)) {
            final StringTokenizer st =
                new StringTokenizer(mBuf.toString(), ""\n\t"");
            mThrowableStrRep = new String[st.countTokens()];
            if (mThrowableStrRep.length > 0) {
                mThrowableStrRep[0] = st.nextToken();
                for (int i = 1; i < mThrowableStrRep.length; i++) {
                    mThrowableStrRep[i] = ""\t"" + st.nextToken();
                }
            }
        }
    }

    
    public void startElement(String aNamespaceURI,
                             String aLocalName,
                             String aQName,
                             Attributes aAtts)
    {
        mBuf.setLength(0);

        if (TAG_EVENT.equals(aQName)) {
            mThreadName = aAtts.getValue(""thread"");
            mTimeStamp = Long.parseLong(aAtts.getValue(""timestamp""));
            mCategoryName = aAtts.getValue(""logger"");
            mLevel = Level.toLevel(aAtts.getValue(""level""));
        } else if (TAG_LOCATION_INFO.equals(aQName)) {
            mLocationDetails = aAtts.getValue(""class"") + "".""
                + aAtts.getValue(""method"")
                + ""("" + aAtts.getValue(""file"") + "":"" + aAtts.getValue(""line"")
                + "")"";
        }
    }

    
    int getNumEvents() {
        return mNumEvents;
    }

    
    
    

    
    private void addEvent() {
        mModel.addEvent(new EventDetails(mTimeStamp,
                                         mLevel,
                                         mCategoryName,
                                         mNDC,
                                         mThreadName,
                                         mMessage,
                                         mThrowableStrRep,
                                         mLocationDetails));
        mNumEvents++;
    }

    
    private void resetData() {
        mTimeStamp = 0;
        mLevel = null;
        mCategoryName = null;
        mNDC = null;
        mThreadName = null;
        mMessage = null;
        mThrowableStrRep = null;
        mLocationDetails = null;
    }
}
"
log4j,1.2,org.apache.log4j.spi.Configurator,1,1,0,7,1,0,6,1,1,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,2,"

package org.apache.log4j.spi;

import java.io.InputStream;
import java.net.URL;


public interface Configurator {

  
  public static final String INHERITED = ""inherited"";

  
  public static final String NULL = ""null"";



  
  void doConfigure(InputStream inputStream, LoggerRepository repository);

  
  void doConfigure(URL url, LoggerRepository repository);
}
"
log4j,1.2,org.apache.log4j.or.DefaultRenderer,2,1,0,2,4,1,1,1,1,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,2,"

package org.apache.log4j.or;


class DefaultRenderer implements ObjectRenderer {
  
  DefaultRenderer() {
  }

  
  public
  String doRender(final Object o) {
          try {
            return o.toString();
          } catch(Exception ex) {
            return ex.toString();
          }
  }
}  
"
log4j,1.2,org.apache.log4j.varia.FallbackErrorHandler,8,1,0,6,22,22,0,6,8,0.714285714,157,0.0,2,0.0,0.339285714,0,0,18.25,2,1.125,3,"
 
package org.apache.log4j.varia;

import  org.apache.log4j.spi.ErrorHandler;
import  org.apache.log4j.spi.LoggingEvent;
import  org.apache.log4j.Appender;
import  org.apache.log4j.Logger;
import  org.apache.log4j.helpers.LogLog;
import java.util.Vector;
import java.io.InterruptedIOException;


public class FallbackErrorHandler implements ErrorHandler {


  Appender backup;
  Appender primary;
  Vector loggers;

  public FallbackErrorHandler() {
  }
  

  
  public 
  void setLogger(Logger logger) {
    LogLog.debug(""FB: Adding logger ["" + logger.getName() + ""]."");
    if(loggers == null) {
      loggers = new Vector();
    }
    loggers.addElement(logger);
  }


  
  public 
  void activateOptions() {
  }


  
  public
  void error(String message, Exception e, int errorCode) { 
    error(message, e, errorCode, null);
  }

  
  public
  void error(String message, Exception e, int errorCode, LoggingEvent event) {
    if (e instanceof InterruptedIOException) {
        Thread.currentThread().interrupt();
    }
    LogLog.debug(""FB: The following error reported: "" + message, e);
    LogLog.debug(""FB: INITIATING FALLBACK PROCEDURE."");
    if (loggers != null) {
    	for(int i = 0; i < loggers.size(); i++) {
      		Logger l = (Logger) loggers.elementAt(i);
      		LogLog.debug(""FB: Searching for [""+primary.getName()+""] in logger [""
		   		+l.getName() + ""]."");
      		LogLog.debug(""FB: Replacing [""+primary.getName()+""] by [""
		   		+ backup.getName() + ""] in logger [""+ l.getName() +""]."");
      		l.removeAppender(primary);
      		LogLog.debug(""FB: Adding appender [""+backup.getName()+""] to logger ""
		   		+  l.getName());
      		l.addAppender(backup);
        }
    }    
  }


  
  public 
  void error(String message) {
    
    
    
    
  }
  
  
  public
  void setAppender(Appender primary) {
    LogLog.debug(""FB: Setting primary appender to ["" + primary.getName() + ""]."");
    this.primary = primary;
  }

  
  public
  void setBackupAppender(Appender backup) {
    LogLog.debug(""FB: Setting backup appender to ["" + backup.getName() + ""]."");
    this.backup = backup;
  }
  
}
"
log4j,1.2,org.apache.log4j.chainsaw.EventDetails,10,1,0,9,16,29,6,3,0,0.777777778,94,1.0,1,0.0,0.25,0,0,7.6,1,0.8,2,"
package org.apache.log4j.chainsaw;

import org.apache.log4j.Priority;
import org.apache.log4j.spi.LoggingEvent;


class EventDetails {

    
    private final long mTimeStamp;
    
    private final Priority mPriority;
    
    private final String mCategoryName;
    
    private final String mNDC;
    
    private final String mThreadName;
    
    private final String mMessage;
    
    private final String[] mThrowableStrRep;
    
    private final String mLocationDetails;

    
    EventDetails(long aTimeStamp,
                 Priority aPriority,
                 String aCategoryName,
                 String aNDC,
                 String aThreadName,
                 String aMessage,
                 String[] aThrowableStrRep,
                 String aLocationDetails)
    {
        mTimeStamp = aTimeStamp;
        mPriority = aPriority;
        mCategoryName = aCategoryName;
        mNDC = aNDC;
        mThreadName = aThreadName;
        mMessage = aMessage;
        mThrowableStrRep = aThrowableStrRep;
        mLocationDetails = aLocationDetails;
    }

    
    EventDetails(LoggingEvent aEvent) {

        this(aEvent.timeStamp,
             aEvent.getLevel(),
             aEvent.getLoggerName(),
             aEvent.getNDC(),
             aEvent.getThreadName(),
             aEvent.getRenderedMessage(),
             aEvent.getThrowableStrRep(),
             (aEvent.getLocationInformation() == null)
             ? null : aEvent.getLocationInformation().fullInfo);
    }

    
    long getTimeStamp() {
        return mTimeStamp;
    }

    
    Priority getPriority() {
        return mPriority;
    }

    
    String getCategoryName() {
        return mCategoryName;
    }

    
    String getNDC() {
        return mNDC;
    }

    
    String getThreadName() {
        return mThreadName;
    }

    
    String getMessage() {
        return mMessage;
    }

    
    String getLocationDetails(){
        return mLocationDetails;
    }

    
    String[] getThrowableStrRep() {
        return mThrowableStrRep;
    }
}
"
log4j,1.2,org.apache.log4j.nt.NTEventLogAppender,17,2,0,8,30,114,1,7,13,0.828125,200,1.0,0,0.642857143,0.3625,1,1,10.29411765,4,0.8235,4,"

package org.apache.log4j.nt;

import org.apache.log4j.AppenderSkeleton;
import org.apache.log4j.Layout;
import org.apache.log4j.TTCCLayout;
import org.apache.log4j.helpers.LogLog;
import org.apache.log4j.spi.LoggingEvent;



public class NTEventLogAppender extends AppenderSkeleton {
  private int _handle = 0;

  private String source = null;
  private String server = null;


  public NTEventLogAppender() {
    this(null, null, null);
  }

  public NTEventLogAppender(String source) {
    this(null, source, null);
  }

  public NTEventLogAppender(String server, String source) {
    this(server, source, null);
  }

  public NTEventLogAppender(Layout layout) {
    this(null, null, layout);
  }

  public NTEventLogAppender(String source, Layout layout) {
    this(null, source, layout);
  }

  public NTEventLogAppender(String server, String source, Layout layout) {
    if (source == null) {
      source = ""Log4j"";
    }
    if (layout == null) {
      this.layout = new TTCCLayout();
    } else {
      this.layout = layout;
    }

    try {
      _handle = registerEventSource(server, source);
    } catch (Exception e) {
      e.printStackTrace();
      _handle = 0;
    }
  }

  public
  void close() {
    
  }

  public
  void activateOptions() {
    if (source != null) {
      try {
   _handle = registerEventSource(server, source);
      } catch (Exception e) {
   LogLog.error(""Could not register event source."", e);
   _handle = 0;
      }
    }
  }


  public void append(LoggingEvent event) {

    StringBuffer sbuf = new StringBuffer();

    sbuf.append(layout.format(event));
    if(layout.ignoresThrowable()) {
      String[] s = event.getThrowableStrRep();
      if (s != null) {
   int len = s.length;
   for(int i = 0; i < len; i++) {
     sbuf.append(s[i]);
   }
      }
    }
    
    int nt_category = event.getLevel().toInt();

    
    
    
    
    reportEvent(_handle, sbuf.toString(), nt_category);
  }


  public
  void finalize() {
    deregisterEventSource(_handle);
    _handle = 0;
  }

  
  public
  void setSource(String source) {
    this.source = source.trim();
  }

  public
  String getSource() {
    return source;
  }


  public
  boolean requiresLayout() {
    return true;
  }

  native private int registerEventSource(String server, String source);
  native private void reportEvent(int handle, String message, int level);
  native private void deregisterEventSource(int handle);

  static {
    String[] archs;
    try {
        archs = new String[] { System.getProperty(""os.arch"")};
    } catch(SecurityException e) {
        archs = new String[] { ""amd64"", ""ia64"", ""x86""};
    }
    boolean loaded = false;
    for(int i = 0; i < archs.length; i++) {
        try {
            System.loadLibrary(""NTEventLogAppender."" + archs[i]);
            loaded = true;
            break;
        } catch(java.lang.UnsatisfiedLinkError e) {
            loaded = false;
        }
    }
    if (!loaded) {
        System.loadLibrary(""NTEventLogAppender"");
    }
}
}
"
log4j,1.2,org.apache.log4j.or.jms.MessageRenderer,2,1,0,3,22,1,1,2,2,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5,2,"

package org.apache.log4j.or.jms;

import org.apache.log4j.helpers.LogLog;
import org.apache.log4j.or.ObjectRenderer;

import javax.jms.Message;
import javax.jms.JMSException;
import javax.jms.DeliveryMode;


public class MessageRenderer implements ObjectRenderer {

  public
  MessageRenderer() {
  }


  
  public
  String  doRender(Object o) {
    if(o instanceof Message) {
      StringBuffer sbuf = new StringBuffer();
      Message m = (Message) o;
      try {
	sbuf.append(""DeliveryMode="");
	switch(m.getJMSDeliveryMode()) {
	case DeliveryMode.NON_PERSISTENT :
	  sbuf.append(""NON_PERSISTENT"");
	  break;
	case DeliveryMode.PERSISTENT :
	  sbuf.append(""PERSISTENT"");
	  break;
	default: sbuf.append(""UNKNOWN"");
	}
	sbuf.append("", CorrelationID="");
	sbuf.append(m.getJMSCorrelationID());

	sbuf.append("", Destination="");
	sbuf.append(m.getJMSDestination());

	sbuf.append("", Expiration="");
	sbuf.append(m.getJMSExpiration());

	sbuf.append("", MessageID="");
	sbuf.append(m.getJMSMessageID());

	sbuf.append("", Priority="");
	sbuf.append(m.getJMSPriority());

	sbuf.append("", Redelivered="");
	sbuf.append(m.getJMSRedelivered());

	sbuf.append("", ReplyTo="");
	sbuf.append(m.getJMSReplyTo());

	sbuf.append("", Timestamp="");
	sbuf.append(m.getJMSTimestamp());

	sbuf.append("", Type="");
	sbuf.append(m.getJMSType());

	
	
	
	
	
	

      } catch(JMSException e) {
	LogLog.error(""Could not parse Message."", e);
      }
      return sbuf.toString();
    } else {
      return o.toString();
    }
  }
}
"
log4j,1.2,org.apache.log4j.lf5.util.LogMonitorAdapter,19,1,0,4,40,159,0,4,14,0.819444444,198,0.5,2,0.0,0.203947368,0,0,9.210526316,2,1.1053,2,"
package org.apache.log4j.lf5.util;

import java.awt.Toolkit;
import java.util.Arrays;
import java.util.List;

import org.apache.log4j.lf5.LogLevel;
import org.apache.log4j.lf5.LogRecord;
import org.apache.log4j.lf5.viewer.LogBrokerMonitor;





public class LogMonitorAdapter {
  
  
  
  public static final int LOG4J_LOG_LEVELS = 0;
  public static final int JDK14_LOG_LEVELS = 1;
  
  
  

  
  
  
  private LogBrokerMonitor _logMonitor;
  private LogLevel _defaultLevel = null;

  
  
  
  private LogMonitorAdapter(List userDefinedLevels) {
    super();
    
    _defaultLevel = (LogLevel) userDefinedLevels.get(0);
    _logMonitor = new LogBrokerMonitor(userDefinedLevels);

    _logMonitor.setFrameSize(getDefaultMonitorWidth(),
        getDefaultMonitorHeight());
    _logMonitor.setFontSize(12);
    _logMonitor.show();
  }
  
  
  
  
  public static LogMonitorAdapter newInstance(int loglevels) {
    LogMonitorAdapter adapter;
    if (loglevels == JDK14_LOG_LEVELS) {
      adapter = newInstance(LogLevel.getJdk14Levels());
      adapter.setDefaultLevel(LogLevel.FINEST);
      adapter.setSevereLevel(LogLevel.SEVERE);
    } else {
      adapter = newInstance(LogLevel.getLog4JLevels());
      adapter.setDefaultLevel(LogLevel.DEBUG);
      adapter.setSevereLevel(LogLevel.FATAL);
    }
    return adapter;
  }

  
  public static LogMonitorAdapter newInstance(LogLevel[] userDefined) {
    if (userDefined == null) {
      return null;
    }
    return newInstance(Arrays.asList(userDefined));
  }

  
  public static LogMonitorAdapter newInstance(List userDefinedLevels) {
    return new LogMonitorAdapter(userDefinedLevels);
  }

  
  public void addMessage(LogRecord record) {
    _logMonitor.addMessage(record);
  }

  
  public void setMaxNumberOfRecords(int maxNumberOfRecords) {
    _logMonitor.setMaxNumberOfLogRecords(maxNumberOfRecords);
  }

  
  public void setDefaultLevel(LogLevel level) {
    _defaultLevel = level;
  }

  
  public LogLevel getDefaultLevel() {
    return _defaultLevel;
  }

  
  public void setSevereLevel(LogLevel level) {
    AdapterLogRecord.setSevereLevel(level);
  }

  
  public LogLevel getSevereLevel() {
    return AdapterLogRecord.getSevereLevel();
  }

  
  public void log(String category, LogLevel level, String message,
      Throwable t, String NDC) {
    AdapterLogRecord record = new AdapterLogRecord();
    record.setCategory(category);
    record.setMessage(message);
    record.setNDC(NDC);
    record.setThrown(t);

    if (level == null) {
      record.setLevel(getDefaultLevel());
    } else {
      record.setLevel(level);
    }

    addMessage(record);
  }

  
  public void log(String category, String message) {
    log(category, null, message);
  }

  
  public void log(String category, LogLevel level, String message, String NDC) {
    log(category, level, message, null, NDC);
  }

  
  public void log(String category, LogLevel level, String message,
      Throwable t) {
    log(category, level, message, t, null);
  }

  
  public void log(String category, LogLevel level, String message) {
    log(category, level, message, null, null);
  }

  
  
  
  
  protected static int getScreenWidth() {
    try {
      return Toolkit.getDefaultToolkit().getScreenSize().width;
    } catch (Throwable t) {
      return 800;
    }
  }

  
  protected static int getScreenHeight() {
    try {
      return Toolkit.getDefaultToolkit().getScreenSize().height;
    } catch (Throwable t) {
      return 600;
    }
  }

  protected static int getDefaultMonitorWidth() {
    return (3 * getScreenWidth()) / 4;
  }

  protected static int getDefaultMonitorHeight() {
    return (3 * getScreenHeight()) / 4;
  }
  
  
  

  
  
  
}

"
log4j,1.2,org.apache.log4j.helpers.PatternConverter,6,1,6,10,10,7,8,2,2,0.72,174,0.0,1,0.0,0.44,0,0,27.16666667,6,1.8333,2,"

package org.apache.log4j.helpers;

import org.apache.log4j.spi.LoggingEvent;


public abstract class PatternConverter {
  public PatternConverter next;
  int min = -1;
  int max = 0x7FFFFFFF;
  boolean leftAlign = false;

  protected
  PatternConverter() {  }
  
  protected
  PatternConverter(FormattingInfo fi) {
    min = fi.min;
    max = fi.max;
    leftAlign = fi.leftAlign;
  }

  
  abstract
  protected
  String convert(LoggingEvent event);

  
  public
  void format(StringBuffer sbuf, LoggingEvent e) {
    String s = convert(e);

    if(s == null) {
      if(0 < min)
	spacePad(sbuf, min);
      return;
    }

    int len = s.length();

    if(len > max)
      sbuf.append(s.substring(len-max));
    else if(len < min) {
      if(leftAlign) {	
	sbuf.append(s);
	spacePad(sbuf, min-len);
      }
      else {
	spacePad(sbuf, min-len);
	sbuf.append(s);
      }
    }
    else
      sbuf.append(s);
  }	

  static String[] SPACES = {"" "", ""  "", ""    "", ""        "", 
			    ""                "", 
			    ""                                "" }; 

  
  public
  void spacePad(StringBuffer sbuf, int length) {
    while(length >= 32) {
      sbuf.append(SPACES[5]);
      length -= 32;
    }
    
    for(int i = 4; i >= 0; i--) {	
      if((length & (1<<i)) != 0) {
	sbuf.append(SPACES[i]);
      }
    }
  }
}
"
log4j,1.2,org.apache.log4j.varia.ReloadingPropertyConfigurator,2,1,0,3,4,1,0,3,2,1.0,12,0.0,1,0.0,0.666666667,0,0,4.5,1,0.5,2,"

package org.apache.log4j.varia;

import java.io.InputStream;
import java.net.URL;

import org.apache.log4j.PropertyConfigurator;
import org.apache.log4j.spi.Configurator;
import org.apache.log4j.spi.LoggerRepository;

public class ReloadingPropertyConfigurator implements Configurator {

    PropertyConfigurator delegate = new PropertyConfigurator();

    public ReloadingPropertyConfigurator() {
    }

   
    public void doConfigure(InputStream inputStream, LoggerRepository repository) {
    }

    public void doConfigure(URL url, LoggerRepository repository) {
    }

}
"
